"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Deck","Seite"
"Nein","3","männlich",22,1,0,7.25,"Southampton","Mr",NA,NA
"Ja","1","weiblich",38,1,0,71.2833,"Cherbourg","Mrs","C","Steuerbord"
"Ja","3","weiblich",26,0,0,7.925,"Southampton","Miss",NA,NA
"Ja","1","weiblich",35,1,0,53.1,"Southampton","Mrs","C","Steuerbord"
"Nein","3","männlich",35,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.4583,"Queenstown","Mr",NA,NA
"Nein","1","männlich",54,0,0,51.8625,"Southampton","Mr","E","Backbord"
"Nein","3","männlich",2,3,1,21.075,"Southampton","Master",NA,NA
"Ja","3","weiblich",27,0,2,11.1333,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",14,1,0,30.0708,"Cherbourg","Mrs",NA,NA
"Ja","3","weiblich",4,1,1,16.7,"Southampton","Miss","G","Backbord"
"Ja","1","weiblich",58,0,0,26.55,"Southampton","Miss","C","Steuerbord"
"Nein","3","männlich",20,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",39,1,5,31.275,"Southampton","Mr",NA,NA
"Nein","3","weiblich",14,0,0,7.8542,"Southampton","Miss",NA,NA
"Ja","2","weiblich",55,0,0,16,"Southampton","Mrs",NA,NA
"Nein","3","männlich",2,4,1,29.125,"Queenstown","Master",NA,NA
"Ja","2","männlich",30,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","weiblich",31,1,0,18,"Southampton","Mrs",NA,NA
"Ja","3","weiblich",35,0,0,7.225,"Cherbourg","Mrs",NA,NA
"Nein","2","männlich",35,0,0,26,"Southampton","Mr",NA,NA
"Ja","2","männlich",34,0,0,13,"Southampton","Mr","D","Backbord"
"Ja","3","weiblich",15,0,0,8.0292,"Queenstown","Miss",NA,NA
"Ja","1","männlich",28,0,0,35.5,"Southampton","Mr","A","Backbord"
"Nein","3","weiblich",8,3,1,21.075,"Southampton","Miss",NA,NA
"Ja","3","weiblich",38,1,5,31.3875,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Nein","1","männlich",19,3,2,263,"Southampton","Mr","C","Steuerbord"
"Ja","3","weiblich",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","1","männlich",40,0,0,27.7208,"Cherbourg","Selten",NA,NA
"Ja","1","weiblich",35,1,0,146.5208,"Cherbourg","Mrs","B","Backbord"
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","2","männlich",66,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","1","männlich",28,1,0,82.1708,"Cherbourg","Mr",NA,NA
"Nein","1","männlich",42,1,0,52,"Southampton","Mr",NA,NA
"Ja","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",21,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",18,2,0,18,"Southampton","Miss",NA,NA
"Ja","3","weiblich",14,1,0,11.2417,"Cherbourg","Miss",NA,NA
"Nein","3","weiblich",40,1,0,9.475,"Southampton","Mrs",NA,NA
"Nein","2","weiblich",27,1,0,21,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Ja","2","weiblich",3,1,2,41.5792,"Cherbourg","Miss",NA,NA
"Ja","3","weiblich",19,0,0,7.8792,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,1,0,15.5,"Queenstown","Mr",NA,NA
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,2,0,21.6792,"Cherbourg","Mr",NA,NA
"Nein","3","weiblich",18,1,0,17.8,"Southampton","Mrs",NA,NA
"Nein","3","männlich",7,4,1,39.6875,"Southampton","Master",NA,NA
"Nein","3","männlich",21,0,0,7.8,"Southampton","Mr",NA,NA
"Ja","1","weiblich",49,1,0,76.7292,"Cherbourg","Mrs","D","Steuerbord"
"Ja","2","weiblich",29,1,0,26,"Southampton","Mrs",NA,NA
"Nein","1","männlich",65,0,1,61.9792,"Cherbourg","Mr","B","Backbord"
"Ja","1","männlich",30,0,0,35.5,"Southampton","Mr","C","Backbord"
"Ja","2","weiblich",21,0,0,10.5,"Southampton","Miss",NA,NA
"Nein","3","männlich",28.5,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Ja","2","weiblich",5,1,2,27.75,"Southampton","Miss",NA,NA
"Nein","3","männlich",11,5,2,46.9,"Southampton","Master",NA,NA
"Nein","3","männlich",22,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",38,0,0,80,NA,"Miss","B","Backbord"
"Nein","1","männlich",45,1,0,83.475,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",4,3,2,27.9,"Southampton","Master",NA,NA
"Nein","1","männlich",30,0,0,27.7208,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",3.5,1,1,15.2458,"Cherbourg","Master",NA,NA
"Ja","2","weiblich",29,0,0,10.5,"Southampton","Mrs","F","Steuerbord"
"Nein","3","männlich",19,0,0,8.1583,"Southampton","Mr",NA,NA
"Ja","3","weiblich",17,4,2,7.925,"Southampton","Miss",NA,NA
"Nein","3","männlich",26,2,0,8.6625,"Southampton","Mr",NA,NA
"Nein","2","männlich",32,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","weiblich",16,5,2,46.9,"Southampton","Miss",NA,NA
"Nein","2","männlich",21,0,0,73.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",26,1,0,14.4542,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",32,0,0,56.4958,"Southampton","Mr",NA,NA
"Nein","3","männlich",25,0,0,7.65,"Southampton","Mr","F",NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","2","männlich",0.83,0,2,29,"Southampton","Master",NA,NA
"Ja","3","weiblich",30,0,0,12.475,"Southampton","Miss",NA,NA
"Nein","3","männlich",22,0,0,9,"Southampton","Mr",NA,NA
"Ja","3","männlich",29,0,0,9.5,"Southampton","Mr",NA,NA
"Ja","3","weiblich",21,0,0,7.7875,"Queenstown","Miss",NA,NA
"Nein","1","männlich",28,0,0,47.1,"Southampton","Mr",NA,NA
"Ja","2","weiblich",17,0,0,10.5,"Southampton","Miss",NA,NA
"Ja","3","weiblich",33,3,0,15.85,"Southampton","Mrs",NA,NA
"Nein","3","männlich",16,1,3,34.375,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","1","weiblich",23,3,2,263,"Southampton","Miss","C","Steuerbord"
"Nein","3","männlich",24,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",29,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",20,0,0,7.8542,"Southampton","Mr",NA,NA
"Nein","1","männlich",46,1,0,61.175,"Southampton","Mr","E","Steuerbord"
"Nein","3","männlich",26,1,2,20.575,"Southampton","Mr",NA,NA
"Nein","3","männlich",59,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","1","männlich",71,0,0,34.6542,"Cherbourg","Mr","A","Steuerbord"
"Ja","1","männlich",23,0,1,63.3583,"Cherbourg","Mr","D","Backbord"
"Ja","2","weiblich",34,0,1,23,"Southampton","Mrs",NA,NA
"Nein","2","männlich",34,1,0,26,"Southampton","Mr",NA,NA
"Nein","3","weiblich",28,0,0,7.8958,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","1","männlich",21,0,1,77.2875,"Southampton","Mr","D","Backbord"
"Nein","3","männlich",33,0,0,8.6542,"Southampton","Mr",NA,NA
"Nein","3","männlich",37,2,0,7.925,"Southampton","Mr",NA,NA
"Nein","3","männlich",28,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","3","weiblich",21,0,0,7.65,"Southampton","Miss",NA,NA
"Ja","3","männlich",30,0,0,7.775,"Southampton","Mr",NA,NA
"Nein","3","männlich",38,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","3","weiblich",21,1,0,24.15,"Queenstown","Miss",NA,NA
"Nein","1","männlich",47,0,0,52,"Southampton","Mr","C","Backbord"
"Nein","3","weiblich",14.5,1,0,14.4542,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",22,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",20,1,0,9.825,"Southampton","Miss",NA,NA
"Nein","3","weiblich",17,0,0,14.4583,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",21,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","3","männlich",70.5,0,0,7.75,"Queenstown","Mr",NA,NA
"Nein","2","männlich",29,1,0,21,"Southampton","Mr",NA,NA
"Nein","1","männlich",24,0,1,247.5208,"Cherbourg","Mr","B","Backbord"
"Nein","3","weiblich",2,4,2,31.275,"Southampton","Miss",NA,NA
"Nein","2","männlich",21,2,0,73.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","2","männlich",32.5,1,0,30.0708,"Cherbourg","Mr",NA,NA
"Ja","2","weiblich",32.5,0,0,13,"Southampton","Miss","E","Steuerbord"
"Nein","1","männlich",54,0,1,77.2875,"Southampton","Mr","D","Backbord"
"Ja","3","männlich",12,1,0,11.2417,"Cherbourg","Master",NA,NA
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","3","männlich",24,0,0,7.1417,"Southampton","Mr",NA,NA
"Ja","3","weiblich",21,1,1,22.3583,"Cherbourg","Miss","F",NA
"Nein","3","männlich",45,0,0,6.975,"Southampton","Mr",NA,NA
"Nein","3","männlich",33,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",20,0,0,7.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",47,1,0,14.5,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",29,1,0,26,"Southampton","Mrs",NA,NA
"Nein","2","männlich",25,0,0,13,"Southampton","Mr",NA,NA
"Nein","2","männlich",23,0,0,15.0458,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",19,0,2,26.2833,"Southampton","Miss","D","Steuerbord"
"Nein","1","männlich",37,1,0,53.1,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",16,0,0,9.2167,"Southampton","Mr",NA,NA
"Nein","1","männlich",24,0,0,79.2,"Cherbourg","Mr","B","Backbord"
"Nein","3","weiblich",35,0,2,15.2458,"Cherbourg","Mrs",NA,NA
"Ja","3","weiblich",22,0,0,7.75,"Southampton","Miss",NA,NA
"Ja","3","weiblich",24,1,0,15.85,"Southampton","Mrs",NA,NA
"Nein","3","männlich",19,0,0,6.75,"Queenstown","Mr",NA,NA
"Nein","2","männlich",18,0,0,11.5,"Southampton","Mr",NA,NA
"Nein","2","männlich",19,1,1,36.75,"Southampton","Mr",NA,NA
"Ja","3","männlich",27,0,0,7.7958,"Southampton","Mr",NA,NA
"Nein","3","weiblich",9,2,2,34.375,"Southampton","Miss",NA,NA
"Nein","2","männlich",36.5,0,2,26,"Southampton","Mr","F","Backbord"
"Nein","2","männlich",42,0,0,13,"Southampton","Selten",NA,NA
"Nein","2","männlich",51,0,0,12.525,"Southampton","Selten",NA,NA
"Ja","1","weiblich",22,1,0,66.6,"Southampton","Mrs","C","Backbord"
"Nein","3","männlich",55.5,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",40.5,0,2,14.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.3125,"Southampton","Mr",NA,NA
"Nein","1","männlich",51,0,1,61.3792,"Cherbourg","Mr",NA,NA
"Ja","3","weiblich",16,0,0,7.7333,"Queenstown","Miss",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","3","männlich",3.5,8,2,69.55,"Southampton","Master",NA,NA
"Nein","3","männlich",44,0,1,16.1,"Southampton","Mr",NA,NA
"Ja","2","weiblich",40,0,0,15.75,"Southampton","Mrs",NA,NA
"Nein","3","männlich",26,0,0,7.775,"Southampton","Mr",NA,NA
"Nein","3","männlich",17,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","3","männlich",1,4,1,39.6875,"Southampton","Master",NA,NA
"Ja","3","männlich",9,0,2,20.525,"Southampton","Master",NA,NA
"Ja","1","weiblich",35,0,1,55,"Southampton","Mrs","E","Steuerbord"
"Nein","3","weiblich",45,1,4,27.9,"Southampton","Mrs",NA,NA
"Nein","1","männlich",30,0,0,25.925,"Southampton","Mr",NA,NA
"Nein","3","männlich",28,0,0,56.4958,"Southampton","Mr",NA,NA
"Nein","1","männlich",61,0,0,33.5,"Southampton","Mr","B","Steuerbord"
"Nein","3","männlich",4,4,1,29.125,"Queenstown","Master",NA,NA
"Ja","3","weiblich",1,1,1,11.1333,"Southampton","Miss",NA,NA
"Nein","3","männlich",21,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","1","männlich",56,0,0,30.6958,"Cherbourg","Mr","A","Steuerbord"
"Nein","3","männlich",18,1,1,7.8542,"Southampton","Mr",NA,NA
"Nein","3","männlich",3.5,3,1,25.4667,"Southampton","Master",NA,NA
"Nein","1","weiblich",50,0,0,28.7125,"Cherbourg","Miss","C","Steuerbord"
"Nein","2","männlich",30,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","männlich",36,0,0,0,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,8,2,69.55,"Southampton","Miss",NA,NA
"Nein","2","männlich",30,0,0,15.05,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",9,4,2,31.3875,"Southampton","Master",NA,NA
"Ja","2","männlich",1,2,1,39,"Southampton","Master","F","Backbord"
"Ja","3","weiblich",4,0,2,22.025,"Southampton","Miss",NA,NA
"Nein","1","männlich",30,0,0,50,"Southampton","Mr","A","Backbord"
"Ja","3","weiblich",35,1,0,15.5,"Queenstown","Mrs",NA,NA
"Ja","1","männlich",45,0,0,26.55,"Southampton","Mr",NA,NA
"Nein","3","männlich",40,1,1,15.5,"Queenstown","Mr",NA,NA
"Nein","3","männlich",36,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","2","weiblich",32,0,0,13,"Southampton","Mrs",NA,NA
"Nein","2","männlich",19,0,0,13,"Southampton","Mr",NA,NA
"Ja","3","weiblich",19,1,0,7.8542,"Southampton","Miss",NA,NA
"Ja","2","männlich",3,1,1,26,"Southampton","Master","F","Backbord"
"Ja","1","weiblich",44,0,0,27.7208,"Cherbourg","Mrs","B","Backbord"
"Ja","1","weiblich",58,0,0,146.5208,"Cherbourg","Miss","B","Backbord"
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Nein","3","männlich",42,0,1,8.4042,"Southampton","Mr",NA,NA
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","2","weiblich",24,0,0,13,"Southampton","Miss",NA,NA
"Nein","3","männlich",28,0,0,9.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,8,2,69.55,"Southampton","Mr",NA,NA
"Nein","3","männlich",34,0,0,6.4958,"Southampton","Mr",NA,NA
"Nein","3","männlich",45.5,0,0,7.225,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",18,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",2,0,1,10.4625,"Southampton","Miss","G","Backbord"
"Nein","3","männlich",32,1,0,15.85,"Southampton","Mr",NA,NA
"Ja","3","männlich",26,0,0,18.7875,"Cherbourg","Mr",NA,NA
"Ja","3","weiblich",16,0,0,7.75,"Queenstown","Miss",NA,NA
"Ja","1","männlich",40,0,0,31,"Cherbourg","Mr","A","Steuerbord"
"Nein","3","männlich",24,0,0,7.05,"Southampton","Mr",NA,NA
"Ja","2","weiblich",35,0,0,21,"Southampton","Miss",NA,NA
"Nein","3","männlich",22,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","2","männlich",30,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,1,0,7.75,"Queenstown","Mr",NA,NA
"Ja","1","weiblich",31,1,0,113.275,"Cherbourg","Miss","D","Backbord"
"Ja","3","weiblich",27,0,0,7.925,"Southampton","Miss",NA,NA
"Nein","2","männlich",42,1,0,27,"Southampton","Mr",NA,NA
"Ja","1","weiblich",32,0,0,76.2917,"Cherbourg","Miss","D","Steuerbord"
"Nein","2","männlich",30,0,0,10.5,"Southampton","Mr",NA,NA
"Ja","3","männlich",16,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","2","männlich",27,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","männlich",51,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","1","männlich",38,1,0,90,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",22,0,0,9.35,"Southampton","Mr",NA,NA
"Ja","2","männlich",19,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",20.5,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","2","männlich",18,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,3,1,25.4667,"Southampton","Miss",NA,NA
"Ja","1","weiblich",35,1,0,83.475,"Southampton","Mrs","C","Steuerbord"
"Nein","3","männlich",29,0,0,7.775,"Southampton","Mr",NA,NA
"Nein","2","männlich",59,0,0,13.5,"Southampton","Mr",NA,NA
"Ja","3","weiblich",5,4,2,31.3875,"Southampton","Miss",NA,NA
"Nein","2","männlich",24,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,0,0,7.55,"Southampton","Miss",NA,NA
"Nein","2","männlich",44,1,0,26,"Southampton","Mr",NA,NA
"Ja","2","weiblich",8,0,2,26.25,"Southampton","Miss",NA,NA
"Nein","2","männlich",19,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","2","männlich",33,0,0,12.275,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,1,0,14.4542,"Cherbourg","Miss",NA,NA
"Ja","3","weiblich",21,1,0,15.5,"Queenstown","Miss",NA,NA
"Nein","2","männlich",29,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",22,0,0,7.125,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Nein","1","männlich",44,2,0,90,"Queenstown","Selten","C","Backbord"
"Nein","3","weiblich",25,0,0,7.775,"Southampton","Miss",NA,NA
"Ja","2","weiblich",24,0,2,14.5,"Southampton","Mrs",NA,NA
"Ja","1","männlich",37,1,1,52.5542,"Southampton","Mr","D","Steuerbord"
"Nein","2","männlich",54,1,0,26,"Southampton","Selten",NA,NA
"Nein","3","männlich",30,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","3","weiblich",29,1,1,10.4625,"Southampton","Mrs","G","Backbord"
"Nein","1","männlich",62,0,0,26.55,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",30,1,0,16.1,"Southampton","Mr",NA,NA
"Nein","3","weiblich",41,0,2,20.2125,"Southampton","Mrs",NA,NA
"Ja","3","weiblich",29,0,2,15.2458,"Cherbourg","Mrs",NA,NA
"Ja","1","weiblich",35,0,0,79.2,"Cherbourg","Mrs",NA,NA
"Ja","1","weiblich",30,0,0,86.5,"Southampton","Miss","B","Steuerbord"
"Ja","1","weiblich",35,0,0,512.3292,"Cherbourg","Miss",NA,NA
"Ja","2","weiblich",50,0,1,26,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","3","männlich",3,4,2,31.3875,"Southampton","Master",NA,NA
"Nein","1","männlich",52,1,1,79.65,"Southampton","Mr","E","Steuerbord"
"Nein","1","männlich",40,0,0,0,"Southampton","Mr","B","Backbord"
"Nein","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","2","männlich",36,0,0,10.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",16,4,1,39.6875,"Southampton","Mr",NA,NA
"Ja","3","männlich",25,1,0,7.775,"Southampton","Mr",NA,NA
"Ja","1","weiblich",58,0,1,153.4625,"Southampton","Mrs","C","Steuerbord"
"Ja","1","weiblich",35,0,0,135.6333,"Southampton","Miss","C","Steuerbord"
"Nein","1","männlich",30,0,0,31,"Southampton","Mr",NA,NA
"Ja","3","männlich",25,0,0,0,"Southampton","Mr",NA,NA
"Ja","2","weiblich",41,0,1,19.5,"Southampton","Mrs",NA,NA
"Nein","1","männlich",37,0,1,29.7,"Cherbourg","Mr","C","Backbord"
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Ja","1","weiblich",63,1,0,77.9583,"Southampton","Miss","D","Steuerbord"
"Nein","3","weiblich",45,0,0,7.75,"Southampton","Miss",NA,NA
"Nein","2","männlich",30,0,0,0,"Southampton","Mr",NA,NA
"Nein","3","männlich",7,4,1,29.125,"Queenstown","Master",NA,NA
"Ja","3","weiblich",35,1,1,20.25,"Southampton","Mrs",NA,NA
"Nein","3","männlich",65,0,0,7.75,"Queenstown","Mr",NA,NA
"Nein","3","männlich",28,0,0,7.8542,"Southampton","Mr",NA,NA
"Nein","3","männlich",16,0,0,9.5,"Southampton","Mr",NA,NA
"Ja","3","männlich",19,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","1","männlich",30,0,0,26,"Southampton","Mr","A","Steuerbord"
"Nein","3","männlich",33,0,0,8.6625,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",30,0,0,9.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",22,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","2","männlich",42,0,0,13,"Southampton","Mr",NA,NA
"Ja","3","weiblich",22,0,0,7.75,"Queenstown","Miss",NA,NA
"Ja","1","weiblich",26,0,0,78.85,"Southampton","Miss",NA,NA
"Ja","1","weiblich",19,1,0,91.0792,"Cherbourg","Mrs","B","Steuerbord"
"Nein","2","männlich",36,0,0,12.875,"Cherbourg","Mr","D",NA
"Nein","3","weiblich",24,0,0,8.85,"Southampton","Miss",NA,NA
"Nein","3","männlich",24,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","1","männlich",30,0,0,27.7208,"Cherbourg","Mr",NA,NA
