"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Deck","Seite"
"Nein","3","männlich",23.5,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","1","weiblich",2,1,2,151.55,"Southampton","Miss","C","Backbord"
"Ja","1","männlich",30,0,0,30.5,"Southampton","Mr","C","Backbord"
"Ja","1","weiblich",50,0,1,247.5208,"Cherbourg","Mrs","B","Backbord"
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Ja","3","männlich",30,2,0,23.25,"Queenstown","Mr",NA,NA
"Nein","3","männlich",19,0,0,0,"Southampton","Mr",NA,NA
"Ja","2","weiblich",21,0,0,12.35,"Queenstown","Miss","E","Steuerbord"
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","1","männlich",0.92,1,2,151.55,"Southampton","Master","C","Backbord"
"Ja","1","weiblich",21,0,0,110.8833,"Cherbourg","Miss",NA,NA
"Ja","1","weiblich",17,1,0,108.9,"Cherbourg","Mrs","C","Steuerbord"
"Nein","2","männlich",30,1,0,24,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",30,0,0,56.9292,"Cherbourg","Miss","E","Backbord"
"Ja","1","weiblich",24,0,0,83.1583,"Cherbourg","Miss","C","Backbord"
"Ja","1","weiblich",18,2,2,262.375,"Cherbourg","Miss","B","Steuerbord"
"Nein","2","weiblich",26,1,1,26,"Southampton","Mrs",NA,NA
"Nein","3","männlich",28,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","2","männlich",43,1,1,26.25,"Southampton","Mr",NA,NA
"Ja","3","weiblich",26,0,0,7.8542,"Southampton","Miss",NA,NA
"Ja","2","weiblich",24,1,0,26,"Southampton","Mrs",NA,NA
"Nein","2","männlich",54,0,0,14,"Southampton","Selten",NA,NA
"Ja","1","weiblich",31,0,2,164.8667,"Southampton","Miss","C","Steuerbord"
"Ja","1","weiblich",40,1,1,134.5,"Cherbourg","Mrs","E","Backbord"
"Nein","3","männlich",22,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","3","männlich",27,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","2","weiblich",30,0,0,12.35,"Queenstown","Miss",NA,NA
"Ja","2","weiblich",22,1,1,29,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,8,2,69.55,"Southampton","Mr",NA,NA
"Ja","1","weiblich",36,0,0,135.6333,"Cherbourg","Miss","C","Backbord"
"Nein","3","männlich",61,0,0,6.2375,"Southampton","Mr",NA,NA
"Ja","2","weiblich",36,0,0,13,"Southampton","Mrs","D",NA
"Ja","3","weiblich",31,1,1,20.525,"Southampton","Mrs",NA,NA
"Ja","1","weiblich",16,0,1,57.9792,"Cherbourg","Miss","B","Backbord"
"Ja","3","weiblich",21,2,0,23.25,"Queenstown","Miss",NA,NA
"Nein","1","männlich",45.5,0,0,28.5,"Southampton","Mr","C","Backbord"
"Nein","1","männlich",38,0,1,153.4625,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",16,2,0,18,"Southampton","Mr",NA,NA
"Ja","1","weiblich",35,1,0,133.65,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","1","männlich",29,1,0,66.6,"Southampton","Mr","C","Backbord"
"Ja","1","weiblich",41,0,0,134.5,"Cherbourg","Miss","E","Backbord"
"Ja","3","männlich",45,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","1","männlich",45,0,0,35.5,"Southampton","Mr","T",NA
"Ja","2","männlich",2,1,1,26,"Southampton","Master","F","Backbord"
"Ja","1","weiblich",24,3,2,263,"Southampton","Miss","C","Steuerbord"
"Nein","2","männlich",28,0,0,13,"Southampton","Mr",NA,NA
"Nein","2","männlich",25,0,0,13,"Southampton","Mr",NA,NA
"Nein","2","männlich",36,0,0,13,"Southampton","Mr",NA,NA
"Ja","2","weiblich",24,0,0,13,"Southampton","Miss","F","Steuerbord"
"Ja","2","weiblich",40,0,0,13,"Southampton","Miss",NA,NA
"Ja","3","weiblich",35,1,0,16.1,"Southampton","Mrs",NA,NA
"Ja","3","männlich",3,1,1,15.9,"Southampton","Master",NA,NA
"Nein","3","männlich",42,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","3","männlich",23,0,0,9.225,"Southampton","Mr",NA,NA
"Nein","1","männlich",30,0,0,35,"Southampton","Mr","C","Backbord"
"Nein","3","männlich",15,1,1,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",25,1,0,17.8,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",28,0,0,9.5,"Southampton","Mr",NA,NA
"Ja","1","weiblich",22,0,1,55,"Southampton","Miss","E","Steuerbord"
"Nein","2","weiblich",38,0,0,13,"Southampton","Miss",NA,NA
"Ja","3","weiblich",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"Ja","3","weiblich",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"Nein","3","männlich",40,1,4,27.9,"Southampton","Mr",NA,NA
"Nein","2","männlich",29,1,0,27.7208,"Cherbourg","Mr",NA,NA
"Nein","3","weiblich",45,0,1,14.4542,"Cherbourg","Mrs",NA,NA
"Nein","3","männlich",35,0,0,7.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,1,0,15.5,"Queenstown","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.25,"Southampton","Mr",NA,NA
"Ja","1","weiblich",60,1,0,75.25,"Cherbourg","Mrs","D","Steuerbord"
"Ja","3","weiblich",35,0,0,7.2292,"Cherbourg","Mrs",NA,NA
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Ja","1","weiblich",24,0,0,69.3,"Cherbourg","Mrs","B","Steuerbord"
"Ja","1","männlich",25,1,0,55.4417,"Cherbourg","Mr","E","Backbord"
"Nein","3","männlich",18,1,0,6.4958,"Southampton","Mr",NA,NA
"Nein","3","männlich",19,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","1","männlich",22,0,0,135.6333,"Cherbourg","Mr",NA,NA
"Nein","3","weiblich",3,3,1,21.075,"Southampton","Miss",NA,NA
"Ja","1","weiblich",35,1,0,82.1708,"Cherbourg","Mrs",NA,NA
"Ja","3","weiblich",22,0,0,7.25,"Southampton","Miss",NA,NA
"Nein","1","männlich",27,0,2,211.5,"Cherbourg","Mr","C","Backbord"
"Nein","3","männlich",20,0,0,4.0125,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",19,0,0,7.775,"Southampton","Mr",NA,NA
"Ja","1","weiblich",42,0,0,227.525,"Cherbourg","Miss",NA,NA
"Ja","3","weiblich",1,0,2,15.7417,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",32,0,0,7.925,"Southampton","Mr",NA,NA
"Ja","1","weiblich",35,1,0,52,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","2","männlich",18,0,0,73.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",1,5,2,46.9,"Southampton","Master",NA,NA
"Ja","2","weiblich",36,0,0,13,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.7292,"Queenstown","Mr",NA,NA
"Ja","2","weiblich",17,0,0,12,"Cherbourg","Miss",NA,NA
"Ja","1","männlich",36,1,2,120,"Southampton","Mr","B","Backbord"
"Ja","3","männlich",21,0,0,7.7958,"Southampton","Mr",NA,NA
"Nein","3","männlich",28,2,0,7.925,"Southampton","Mr",NA,NA
"Ja","1","weiblich",23,1,0,113.275,"Cherbourg","Miss","D","Backbord"
"Ja","3","weiblich",24,0,2,16.7,"Southampton","Mrs","G","Backbord"
"Nein","3","männlich",22,0,0,7.7958,"Southampton","Mr",NA,NA
"Nein","3","weiblich",31,0,0,7.8542,"Southampton","Miss",NA,NA
"Nein","2","männlich",46,0,0,26,"Southampton","Mr",NA,NA
"Nein","2","männlich",23,0,0,10.5,"Southampton","Selten",NA,NA
"Ja","2","weiblich",28,0,0,12.65,"Southampton","Mrs",NA,NA
"Ja","3","männlich",39,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","3","männlich",26,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,1,0,9.825,"Southampton","Miss",NA,NA
"Nein","3","männlich",28,1,0,15.85,"Southampton","Mr",NA,NA
"Nein","3","weiblich",20,0,0,8.6625,"Southampton","Miss",NA,NA
"Nein","2","männlich",34,1,0,21,"Southampton","Mr",NA,NA
"Nein","3","männlich",51,0,0,7.75,"Southampton","Mr",NA,NA
"Ja","2","männlich",3,1,1,18.75,"Southampton","Master",NA,NA
"Nein","3","männlich",21,0,0,7.775,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,3,1,25.4667,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,6.8583,"Queenstown","Mr",NA,NA
"Ja","1","weiblich",33,1,0,90,"Queenstown","Miss","C","Backbord"
"Nein","2","männlich",30,0,0,0,"Southampton","Mr",NA,NA
"Ja","3","männlich",44,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","3","weiblich",35,0,0,8.05,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",34,1,1,32.5,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",18,0,2,13,"Southampton","Miss",NA,NA
"Nein","2","männlich",30,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","weiblich",10,0,2,24.15,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",21,0,0,7.7333,"Queenstown","Mr",NA,NA
"Nein","3","männlich",29,0,0,7.875,"Southampton","Mr",NA,NA
"Nein","3","weiblich",28,1,1,14.4,"Southampton","Mrs",NA,NA
"Nein","3","männlich",18,1,1,20.2125,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.25,"Southampton","Mr",NA,NA
"Ja","2","weiblich",28,1,0,26,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",19,0,0,26,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","3","männlich",32,0,0,8.05,"Southampton","Mr","E","Backbord"
"Ja","1","männlich",28,0,0,26.55,"Southampton","Mr","C","Backbord"
"Ja","3","weiblich",35,1,0,16.1,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",42,1,0,26,"Southampton","Mrs",NA,NA
"Nein","3","männlich",17,0,0,7.125,"Southampton","Mr",NA,NA
"Nein","1","männlich",50,1,0,55.9,"Southampton","Mr","E","Backbord"
"Ja","1","weiblich",14,1,2,120,"Southampton","Miss","B","Backbord"
"Nein","3","weiblich",21,2,2,34.375,"Southampton","Miss",NA,NA
"Ja","2","weiblich",24,2,3,18.75,"Southampton","Mrs",NA,NA
"Nein","1","männlich",64,1,4,263,"Southampton","Mr","C","Steuerbord"
"Nein","2","männlich",31,0,0,10.5,"Southampton","Mr",NA,NA
"Ja","2","weiblich",45,1,1,26.25,"Southampton","Mrs",NA,NA
"Nein","3","männlich",20,0,0,9.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",25,1,0,7.775,"Southampton","Mr",NA,NA
"Ja","2","weiblich",28,0,0,13,"Southampton","Miss",NA,NA
"Ja","3","männlich",30,0,0,8.1125,"Southampton","Mr",NA,NA
"Ja","1","männlich",4,0,2,81.8583,"Southampton","Master","A","Backbord"
"Ja","2","weiblich",13,0,1,19.5,"Southampton","Miss",NA,NA
"Ja","1","männlich",34,0,0,26.55,"Southampton","Mr",NA,NA
"Ja","3","weiblich",5,2,1,19.2583,"Cherbourg","Miss",NA,NA
"Ja","1","männlich",52,0,0,30.5,"Southampton","Selten","C","Backbord"
"Nein","2","männlich",36,1,2,27.75,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,1,0,19.9667,"Southampton","Mr",NA,NA
"Nein","1","männlich",30,0,0,27.75,"Cherbourg","Mr","C","Steuerbord"
"Ja","1","männlich",49,1,0,89.1042,"Cherbourg","Mr","C","Backbord"
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","3","männlich",29,0,0,7.8958,"Cherbourg","Mr",NA,NA
"Nein","1","männlich",65,0,0,26.55,"Southampton","Mr","E","Backbord"
"Ja","1","weiblich",35,1,0,51.8625,"Southampton","Mrs","D","Steuerbord"
"Ja","2","weiblich",50,0,0,10.5,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","1","männlich",48,0,0,26.55,"Southampton","Mr","E","Backbord"
"Nein","3","männlich",34,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","1","männlich",47,0,0,38.5,"Southampton","Mr","E","Steuerbord"
"Nein","2","männlich",48,0,0,13,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",38,0,0,7.05,"Southampton","Mr",NA,NA
"Nein","2","männlich",30,0,0,0,"Southampton","Mr",NA,NA
"Nein","1","männlich",56,0,0,26.55,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.725,"Queenstown","Mr",NA,NA
"Ja","3","weiblich",0.75,2,1,19.2583,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","3","männlich",38,0,0,8.6625,"Southampton","Mr",NA,NA
"Ja","2","weiblich",33,1,2,27.75,"Southampton","Mrs",NA,NA
"Ja","2","weiblich",23,0,0,13.7917,"Cherbourg","Mrs","D",NA
"Nein","3","weiblich",22,0,0,9.8375,"Southampton","Miss",NA,NA
"Nein","1","männlich",30,0,0,52,"Southampton","Mr","A","Backbord"
"Nein","2","männlich",34,1,0,21,"Southampton","Mr",NA,NA
"Nein","3","männlich",29,1,0,7.0458,"Southampton","Mr",NA,NA
"Nein","3","männlich",22,0,0,7.5208,"Southampton","Mr",NA,NA
"Ja","3","weiblich",2,0,1,12.2875,"Southampton","Miss",NA,NA
"Nein","3","männlich",9,5,2,46.9,"Southampton","Master",NA,NA
"Nein","2","männlich",30,0,0,0,"Southampton","Mr",NA,NA
"Nein","3","männlich",50,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","3","weiblich",63,0,0,9.5875,"Southampton","Mrs",NA,NA
"Ja","1","männlich",25,1,0,91.0792,"Cherbourg","Mr","B","Steuerbord"
"Nein","3","weiblich",21,3,1,25.4667,"Southampton","Miss",NA,NA
"Ja","1","weiblich",35,1,0,90,"Southampton","Mrs","C","Steuerbord"
"Nein","1","männlich",58,0,0,29.7,"Cherbourg","Mr","B","Steuerbord"
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","3","männlich",9,1,1,15.9,"Southampton","Master",NA,NA
"Nein","3","männlich",30,1,0,19.9667,"Southampton","Mr",NA,NA
"Nein","3","männlich",21,0,0,7.25,"Southampton","Mr",NA,NA
"Nein","1","männlich",55,0,0,30.5,"Southampton","Mr","C","Backbord"
"Nein","1","männlich",71,0,0,49.5042,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",21,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,14.4583,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",54,1,0,78.2667,"Cherbourg","Miss","D","Backbord"
"Nein","3","männlich",30,0,0,15.1,"Southampton","Mr",NA,NA
"Nein","1","weiblich",25,1,2,151.55,"Southampton","Mrs","C","Backbord"
"Nein","3","männlich",24,0,0,7.7958,"Southampton","Mr",NA,NA
"Nein","3","männlich",17,0,0,8.6625,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","3","weiblich",21,0,0,7.6292,"Queenstown","Miss",NA,NA
"Nein","3","weiblich",37,0,0,9.5875,"Southampton","Miss",NA,NA
"Ja","1","weiblich",16,0,0,86.5,"Southampton","Miss","B","Steuerbord"
"Nein","1","männlich",18,1,0,108.9,"Cherbourg","Mr","C","Steuerbord"
"Ja","2","weiblich",33,0,2,26,"Southampton","Mrs",NA,NA
"Ja","1","männlich",30,0,0,26.55,"Southampton","Mr",NA,NA
"Nein","3","männlich",28,0,0,22.525,"Southampton","Mr",NA,NA
"Ja","3","männlich",26,0,0,56.4958,"Southampton","Mr",NA,NA
"Ja","3","männlich",29,0,0,7.75,"Queenstown","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Ja","1","männlich",36,0,0,26.2875,"Southampton","Mr","E","Steuerbord"
"Ja","1","weiblich",54,1,0,59.4,"Cherbourg","Mrs. Martin (Elizabeth L",NA,NA
"Nein","3","männlich",24,0,0,7.4958,"Southampton","Mr",NA,NA
"Nein","1","männlich",47,0,0,34.0208,"Southampton","Mr","D","Backbord"
"Ja","2","weiblich",34,0,0,10.5,"Southampton","Mrs","F","Steuerbord"
"Nein","3","männlich",30,0,0,24.15,"Queenstown","Mr",NA,NA
"Ja","2","weiblich",36,1,0,26,"Southampton","Mrs",NA,NA
"Nein","3","männlich",32,0,0,7.8958,"Southampton","Mr",NA,NA
"Ja","1","weiblich",30,0,0,93.5,"Southampton","Miss","B","Steuerbord"
"Nein","3","männlich",22,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",44,0,1,57.9792,"Cherbourg","Mrs","B","Backbord"
"Nein","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",40.5,0,0,7.75,"Queenstown","Mr",NA,NA
"Ja","2","weiblich",50,0,0,10.5,"Southampton","Miss",NA,NA
"Nein","1","männlich",30,0,0,221.7792,"Southampton","Mr","C","Steuerbord"
"Nein","3","männlich",39,0,0,7.925,"Southampton","Mr",NA,NA
"Nein","2","männlich",23,2,1,11.5,"Southampton","Mr",NA,NA
"Ja","2","weiblich",2,1,1,26,"Southampton","Miss",NA,NA
"Nein","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",17,1,1,7.2292,"Cherbourg","Mr",NA,NA
"Ja","3","weiblich",35,0,2,22.3583,"Cherbourg","Mrs",NA,NA
"Nein","3","weiblich",30,0,0,8.6625,"Southampton","Miss",NA,NA
"Ja","2","weiblich",7,0,2,26.25,"Southampton","Miss",NA,NA
"Nein","1","männlich",45,0,0,26.55,"Southampton","Selten","B","Backbord"
"Ja","1","weiblich",30,0,0,106.425,"Cherbourg","Miss",NA,NA
"Nein","3","männlich",30,0,0,14.5,"Southampton","Mr",NA,NA
"Ja","1","weiblich",22,0,2,49.5,"Cherbourg","Miss","B","Steuerbord"
"Ja","1","weiblich",36,0,2,71,"Southampton","Miss","B","Backbord"
"Nein","3","weiblich",9,4,2,31.275,"Southampton","Miss",NA,NA
"Nein","3","weiblich",11,4,2,31.275,"Southampton","Miss",NA,NA
"Ja","2","männlich",32,1,0,26,"Southampton","Mr",NA,NA
"Nein","1","männlich",50,1,0,106.425,"Cherbourg","Mr","C","Backbord"
"Nein","1","männlich",64,0,0,26,"Southampton","Mr",NA,NA
"Ja","2","weiblich",19,1,0,26,"Southampton","Mrs",NA,NA
"Ja","2","männlich",30,0,0,13.8625,"Cherbourg","Mr",NA,NA
"Nein","3","männlich",33,1,1,20.525,"Southampton","Mr",NA,NA
"Ja","2","männlich",8,1,1,36.75,"Southampton","Master",NA,NA
"Ja","1","männlich",17,0,2,110.8833,"Cherbourg","Mr","C","Backbord"
"Nein","2","männlich",27,0,0,26,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,7.8292,"Queenstown","Mr",NA,NA
"Ja","3","männlich",22,0,0,7.225,"Cherbourg","Mr",NA,NA
"Ja","3","weiblich",22,0,0,7.775,"Southampton","Miss",NA,NA
"Nein","1","männlich",62,0,0,26.55,"Southampton","Mr",NA,NA
"Ja","1","weiblich",48,1,0,39.6,"Cherbourg","Selten","A","Backbord"
"Nein","1","männlich",30,0,0,227.525,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",39,1,1,79.65,"Southampton","Mrs","E","Steuerbord"
"Ja","3","weiblich",36,1,0,17.4,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Nein","3","männlich",40,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","2","männlich",28,0,0,13.5,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","weiblich",21,0,0,8.05,"Southampton","Miss",NA,NA
"Nein","3","männlich",24,2,0,24.15,"Southampton","Mr",NA,NA
"Nein","3","männlich",19,0,0,7.8958,"Southampton","Mr",NA,NA
"Nein","3","weiblich",29,0,4,21.075,"Southampton","Mrs",NA,NA
"Nein","3","männlich",30,0,0,7.2292,"Cherbourg","Mr",NA,NA
"Ja","3","männlich",32,0,0,7.8542,"Southampton","Mr",NA,NA
"Ja","2","männlich",62,0,0,10.5,"Southampton","Mr",NA,NA
"Ja","1","weiblich",53,2,0,51.4792,"Southampton","Mrs","C","Steuerbord"
"Ja","1","männlich",36,0,0,26.3875,"Southampton","Mr","E","Steuerbord"
"Ja","3","weiblich",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Nein","3","männlich",16,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",19,0,0,14.5,"Southampton","Mr",NA,NA
"Ja","2","weiblich",34,0,0,13,"Southampton","Miss",NA,NA
"Ja","1","weiblich",39,1,0,55.9,"Southampton","Mrs","E","Backbord"
"Nein","3","weiblich",35,1,0,14.4583,"Cherbourg","Mrs",NA,NA
"Ja","3","männlich",32,0,0,7.925,"Southampton","Mr",NA,NA
"Ja","2","weiblich",25,1,1,30,"Southampton","Miss",NA,NA
"Ja","1","weiblich",39,1,1,110.8833,"Cherbourg","Mrs","C","Backbord"
"Nein","2","männlich",54,0,0,26,"Southampton","Mr",NA,NA
"Nein","1","männlich",36,0,0,40.125,"Cherbourg","Mr","A","Backbord"
"Nein","3","männlich",30,0,0,8.7125,"Cherbourg","Mr",NA,NA
"Ja","1","weiblich",18,0,2,79.65,"Southampton","Miss","E","Backbord"
"Nein","2","männlich",47,0,0,15,"Southampton","Mr",NA,NA
"Ja","1","männlich",60,1,1,79.2,"Cherbourg","Mr","B","Steuerbord"
"Nein","3","männlich",22,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",30,0,0,8.05,"Southampton","Mr",NA,NA
"Nein","3","männlich",35,0,0,7.125,"Southampton","Mr",NA,NA
"Ja","1","weiblich",52,1,0,78.2667,"Cherbourg","Mrs","D","Backbord"
"Nein","3","männlich",47,0,0,7.25,"Southampton","Mr",NA,NA
